item_code,item_name,whs_code,doc_date,quantity
ITM001,Filtro de aceite,WHS01,2023-11-20,1.5
ITM002,Pastilla de freno,WHS01,2023-11-20,13.5
ITM002,Pastilla de freno,WHS02,2023-11-20,10.5
ITM003,Bujía,WHS01,2023-11-20,13.5
ITM003,Bujía,WHS02,2023-11-20,6.0
ITM004,Amortiguador,WHS01,2023-11-20,9.0
ITM004,Amortiguador,WHS02,2023-11-20,12.0
ITM005,Kit de embrague,WHS01,2023-11-20,7.5
ITM005,Kit de embrague,WHS02,2023-11-20,4.5
ITM001,Filtro de aceite,WHS01,2023-11-21,4.5
ITM002,Pastilla de freno,WHS01,2023-11-21,12.0
ITM002,Pastilla de freno,WHS02,2023-11-21,9.0
ITM003,Bujía,WHS01,2023-11-21,10.5
ITM003,Bujía,WHS02,2023-11-21,10.5
ITM004,Amortiguador,WHS02,2023-11-21,12.0
ITM005,Kit de embrague,WHS01,2023-11-21,7.5
ITM001,Filtro de aceite,WHS01,2023-11-22,1.5
ITM004,Amortiguador,WHS01,2023-11-22,9.0
ITM004,Amortiguador,WHS02,2023-11-22,10.5
ITM001,Filtro de aceite,WHS01,2023-11-23,4.5
ITM001,Filtro de aceite,WHS02,2023-11-23,4.5
ITM002,Pastilla de freno,WHS01,2023-11-23,13.5
ITM003,Bujía,WHS01,2023-11-23,6.0
ITM003,Bujía,WHS02,2023-11-23,7.5
ITM004,Amortiguador,WHS01,2023-11-23,10.5
ITM004,Amortiguador,WHS02,2023-11-23,9.0
ITM005,Kit de embrague,WHS01,2023-11-23,4.5
ITM005,Kit de embrague,WHS02,2023-11-23,13.5
ITM001,Filtro de aceite,WHS01,2023-11-24,6.0
ITM001,Filtro de aceite,WHS02,2023-11-24,3.0
ITM002,Pastilla de freno,WHS02,2023-11-24,3.0
ITM003,Bujía,WHS02,2023-11-24,10.5
ITM004,Amortiguador,WHS01,2023-11-24,6.0
ITM004,Amortiguador,WHS02,2023-11-24,4.5
ITM005,Kit de embrague,WHS02,2023-11-24,7.5
ITM001,Filtro de aceite,WHS02,2023-11-27,1.5
ITM002,Pastilla de freno,WHS01,2023-11-27,6.0
ITM002,Pastilla de freno,WHS02,2023-11-27,12.0
ITM003,Bujía,WHS02,2023-11-27,7.5
ITM005,Kit de embrague,WHS01,2023-11-27,9.0
ITM001,Filtro de aceite,WHS01,2023-11-28,13.5
ITM002,Pastilla de freno,WHS01,2023-11-28,13.5
ITM002,Pastilla de freno,WHS02,2023-11-28,1.5
ITM003,Bujía,WHS01,2023-11-28,3.0
ITM003,Bujía,WHS02,2023-11-28,12.0
ITM004,Amortiguador,WHS01,2023-11-28,10.5
ITM004,Amortiguador,WHS02,2023-11-28,1.5
ITM005,Kit de embrague,WHS01,2023-11-28,4.5
ITM002,Pastilla de freno,WHS01,2023-11-29,9.0
ITM003,Bujía,WHS02,2023-11-29,1.5
ITM004,Amortiguador,WHS01,2023-11-29,4.5
ITM004,Amortiguador,WHS02,2023-11-29,4.5
ITM005,Kit de embrague,WHS02,2023-11-29,3.0
ITM001,Filtro de aceite,WHS01,2023-11-30,7.5
ITM001,Filtro de aceite,WHS02,2023-11-30,3.0
ITM002,Pastilla de freno,WHS02,2023-11-30,4.5
ITM003,Bujía,WHS01,2023-11-30,4.5
ITM004,Amortiguador,WHS01,2023-11-30,1.5
ITM004,Amortiguador,WHS02,2023-11-30,9.0
ITM005,Kit de embrague,WHS01,2023-11-30,3.0
ITM001,Filtro de aceite,WHS01,2023-12-01,18.0
ITM001,Filtro de aceite,WHS02,2023-12-01,10.0
ITM002,Pastilla de freno,WHS01,2023-12-01,4.0
ITM002,Pastilla de freno,WHS02,2023-12-01,8.0
ITM004,Amortiguador,WHS02,2023-12-01,2.0
ITM005,Kit de embrague,WHS01,2023-12-01,6.0
ITM005,Kit de embrague,WHS02,2023-12-01,10.0
ITM001,Filtro de aceite,WHS01,2023-12-04,8.0
ITM001,Filtro de aceite,WHS02,2023-12-04,10.0
ITM002,Pastilla de freno,WHS01,2023-12-04,12.0
ITM002,Pastilla de freno,WHS02,2023-12-04,6.0
ITM003,Bujía,WHS01,2023-12-04,12.0
ITM003,Bujía,WHS02,2023-12-04,12.0
ITM004,Amortiguador,WHS01,2023-12-04,8.0
ITM004,Amortiguador,WHS02,2023-12-04,10.0
ITM005,Kit de embrague,WHS01,2023-12-04,18.0
ITM005,Kit de embrague,WHS02,2023-12-04,10.0
ITM001,Filtro de aceite,WHS01,2023-12-05,10.0
ITM001,Filtro de aceite,WHS02,2023-12-05,2.0
ITM002,Pastilla de freno,WHS01,2023-12-05,2.0
ITM002,Pastilla de freno,WHS02,2023-12-05,10.0
ITM003,Bujía,WHS01,2023-12-05,2.0
ITM003,Bujía,WHS02,2023-12-05,6.0
ITM005,Kit de embrague,WHS01,2023-12-05,2.0
ITM005,Kit de embrague,WHS02,2023-12-05,10.0
ITM001,Filtro de aceite,WHS02,2023-12-06,10.0
ITM002,Pastilla de freno,WHS01,2023-12-06,18.0
ITM002,Pastilla de freno,WHS02,2023-12-06,8.0
ITM004,Amortiguador,WHS01,2023-12-06,10.0
ITM004,Amortiguador,WHS02,2023-12-06,8.0
ITM005,Kit de embrague,WHS01,2023-12-06,2.0
ITM005,Kit de embrague,WHS02,2023-12-06,16.0
ITM001,Filtro de aceite,WHS01,2023-12-07,16.0
ITM001,Filtro de aceite,WHS02,2023-12-07,6.0
ITM002,Pastilla de freno,WHS01,2023-12-07,4.0
ITM002,Pastilla de freno,WHS02,2023-12-07,18.0
ITM003,Bujía,WHS01,2023-12-07,6.0
ITM003,Bujía,WHS02,2023-12-07,4.0
ITM004,Amortiguador,WHS01,2023-12-07,14.0
ITM005,Kit de embrague,WHS01,2023-12-07,14.0
ITM001,Filtro de aceite,WHS01,2023-12-08,2.0
ITM001,Filtro de aceite,WHS02,2023-12-08,8.0
ITM003,Bujía,WHS01,2023-12-08,14.0
ITM004,Amortiguador,WHS02,2023-12-08,6.0
ITM005,Kit de embrague,WHS01,2023-12-08,10.0
ITM005,Kit de embrague,WHS02,2023-12-08,12.0
ITM001,Filtro de aceite,WHS01,2023-12-11,8.0
ITM001,Filtro de aceite,WHS02,2023-12-11,10.0
ITM002,Pastilla de freno,WHS01,2023-12-11,10.0
ITM003,Bujía,WHS01,2023-12-11,2.0
ITM003,Bujía,WHS02,2023-12-11,12.0
ITM004,Amortiguador,WHS01,2023-12-11,14.0
ITM005,Kit de embrague,WHS01,2023-12-11,12.0
ITM005,Kit de embrague,WHS02,2023-12-11,4.0
ITM001,Filtro de aceite,WHS01,2023-12-12,10.0
ITM001,Filtro de aceite,WHS02,2023-12-12,14.0
ITM002,Pastilla de freno,WHS01,2023-12-12,12.0
ITM003,Bujía,WHS01,2023-12-12,6.0
ITM005,Kit de embrague,WHS02,2023-12-12,6.0
ITM001,Filtro de aceite,WHS02,2023-12-13,4.0
ITM002,Pastilla de freno,WHS01,2023-12-13,16.0
ITM002,Pastilla de freno,WHS02,2023-12-13,14.0
ITM003,Bujía,WHS01,2023-12-13,14.0
ITM003,Bujía,WHS02,2023-12-13,6.0
ITM004,Amortiguador,WHS02,2023-12-13,6.0
ITM001,Filtro de aceite,WHS02,2023-12-14,2.0
ITM002,Pastilla de freno,WHS01,2023-12-14,10.0
ITM003,Bujía,WHS02,2023-12-14,12.0
ITM005,Kit de embrague,WHS01,2023-12-14,6.0
ITM005,Kit de embrague,WHS02,2023-12-14,2.0
